"","name","elected","ideology","list","party_member","party","age","sex","educ"
"2862","encuestado_1930",NA,"1.35192291471313",NA,NA,NA,NA,NA,NA
"2863","encuestado_1931",NA,"-0.783225966985593",NA,NA,NA,NA,NA,NA
"2864","encuestado_1932",NA,"1.00485855913035",NA,NA,NA,NA,NA,NA
"2865","encuestado_1933",NA,"-0.151840621096388",NA,NA,NA,NA,NA,NA
"2866","encuestado_1934",NA,"-0.846113389478488",NA,NA,NA,NA,NA,NA
"2867","encuestado_1935",NA,"-0.331042132109367",NA,NA,NA,NA,NA,NA
"2868","encuestado_1936",NA,"0.0534072552692299",NA,NA,NA,NA,NA,NA
"2869","encuestado_1937",NA,"-1.16071795178457",NA,NA,NA,NA,NA,NA
"2870","encuestado_1938",NA,"-0.539359708741353",NA,NA,NA,NA,NA,NA
"2871","encuestado_1939",NA,"-0.996232679759468",NA,NA,NA,NA,NA,NA
"2872","encuestado_1940",NA,"-0.912404184274381",NA,NA,NA,NA,NA,NA
"2873","encuestado_1941",NA,"-0.681906932308456",NA,NA,NA,NA,NA,NA
"2874","encuestado_1942",NA,"1.23817326317519",NA,NA,NA,NA,NA,NA
"2875","encuestado_1943",NA,"-1.16053080249393",NA,NA,NA,NA,NA,NA
"2876","encuestado_1944",NA,"-0.724096456741199",NA,NA,NA,NA,NA,NA
"2877","encuestado_1945",NA,"0.0433428179140326",NA,NA,NA,NA,NA,NA
"2878","encuestado_1946",NA,"-0.393594622863398",NA,NA,NA,NA,NA,NA
"2879","encuestado_1947",NA,"0.930423186879282",NA,NA,NA,NA,NA,NA
"2880","encuestado_1948",NA,"1.44612499922412",NA,NA,NA,NA,NA,NA
"2881","encuestado_1949",NA,"-0.842149349190908",NA,NA,NA,NA,NA,NA
"2882","encuestado_1950",NA,"-1.14420169054226",NA,NA,NA,NA,NA,NA
"2883","encuestado_1951",NA,"-0.0991980116848503",NA,NA,NA,NA,NA,NA
"2884","encuestado_1952",NA,"-0.56270236224222",NA,NA,NA,NA,NA,NA
"2885","encuestado_1953",NA,"-0.375152957905622",NA,NA,NA,NA,NA,NA
"2886","encuestado_1954",NA,"-0.912658082731324",NA,NA,NA,NA,NA,NA
"2887","encuestado_1955",NA,"1.4045828063889",NA,NA,NA,NA,NA,NA
"2888","encuestado_1956",NA,"-0.634212267586375",NA,NA,NA,NA,NA,NA
"2889","encuestado_1957",NA,"-0.873827733289987",NA,NA,NA,NA,NA,NA
"2890","encuestado_1958",NA,"-0.895409364176859",NA,NA,NA,NA,NA,NA
"2891","encuestado_1959",NA,"0.8871217580693",NA,NA,NA,NA,NA,NA
"2892","encuestado_1960",NA,"-0.852612095397639",NA,NA,NA,NA,NA,NA
"2893","encuestado_1961",NA,"-0.763173075828458",NA,NA,NA,NA,NA,NA
"2894","encuestado_1962",NA,"-0.920846823668288",NA,NA,NA,NA,NA,NA
"2895","encuestado_1963",NA,"-0.993210276608403",NA,NA,NA,NA,NA,NA
"2896","encuestado_1964",NA,"-0.998394445312483",NA,NA,NA,NA,NA,NA
"2897","encuestado_1965",NA,"-1.27711333924228",NA,NA,NA,NA,NA,NA
"2898","encuestado_1966",NA,"0.977503906814208",NA,NA,NA,NA,NA,NA
"2899","encuestado_1967",NA,"-1.2113932798986",NA,NA,NA,NA,NA,NA
"2900","encuestado_1968",NA,"-0.677318241238832",NA,NA,NA,NA,NA,NA
"2901","encuestado_1969",NA,"0.803061389297763",NA,NA,NA,NA,NA,NA
"2902","encuestado_1970",NA,"-0.844696975371839",NA,NA,NA,NA,NA,NA
"2903","encuestado_1971",NA,"-0.945698743191062",NA,NA,NA,NA,NA,NA
"2904","encuestado_1972",NA,"1.09166991402841",NA,NA,NA,NA,NA,NA
"2905","encuestado_1973",NA,"0.837931582440681",NA,NA,NA,NA,NA,NA
"2906","encuestado_1974",NA,"-0.844486013240765",NA,NA,NA,NA,NA,NA
"2907","encuestado_1975",NA,"-1.25456201047822",NA,NA,NA,NA,NA,NA
"2908","encuestado_1976",NA,"-0.190397728320811",NA,NA,NA,NA,NA,NA
"2909","encuestado_1977",NA,"-0.716058335088106",NA,NA,NA,NA,NA,NA
"2910","encuestado_1978",NA,"0.631457608524382",NA,NA,NA,NA,NA,NA
"2911","encuestado_1979",NA,"-0.317161231861718",NA,NA,NA,NA,NA,NA
"2912","encuestado_1980",NA,"0.933192788551261",NA,NA,NA,NA,NA,NA
"2913","encuestado_1981",NA,"-1.00001723223465",NA,NA,NA,NA,NA,NA
"2914","encuestado_1982",NA,"-0.94005752605841",NA,NA,NA,NA,NA,NA
"2915","encuestado_1983",NA,"-0.524306299904688",NA,NA,NA,NA,NA,NA
"2916","encuestado_1984",NA,"-0.828080152475938",NA,NA,NA,NA,NA,NA
"2917","encuestado_1985",NA,"1.07504389313013",NA,NA,NA,NA,NA,NA
"2918","encuestado_1986",NA,"-0.847561591569982",NA,NA,NA,NA,NA,NA
"2919","encuestado_1987",NA,"-0.781733871692631",NA,NA,NA,NA,NA,NA
"2920","encuestado_1988",NA,"-0.976746812452584",NA,NA,NA,NA,NA,NA
"2921","encuestado_1989",NA,"-1.17113120797892",NA,NA,NA,NA,NA,NA
"2922","encuestado_1990",NA,"0.60187830528439",NA,NA,NA,NA,NA,NA
"2923","encuestado_1991",NA,"-1.04314905564112",NA,NA,NA,NA,NA,NA
"2924","encuestado_1992",NA,"1.04053393553451",NA,NA,NA,NA,NA,NA
"2925","encuestado_1993",NA,"-0.97578107900741",NA,NA,NA,NA,NA,NA
"2926","encuestado_1994",NA,"1.05726768247327",NA,NA,NA,NA,NA,NA
"2927","encuestado_1995",NA,"1.63152714916192",NA,NA,NA,NA,NA,NA
"2928","encuestado_1996",NA,"-0.853628476847965",NA,NA,NA,NA,NA,NA
"2929","encuestado_1997",NA,"-0.894130585837755",NA,NA,NA,NA,NA,NA
"2930","encuestado_1998",NA,"-0.895899671995898",NA,NA,NA,NA,NA,NA
"2931","encuestado_1999",NA,"-0.19960953027298",NA,NA,NA,NA,NA,NA
"2932","encuestado_2000",NA,"-0.637220568380825",NA,NA,NA,NA,NA,NA
"2933","encuestado_2001",NA,"-0.976811659384015",NA,NA,NA,NA,NA,NA
"2934","encuestado_2002",NA,"1.73603756995963",NA,NA,NA,NA,NA,NA
"2935","encuestado_2003",NA,"0.831852335411652",NA,NA,NA,NA,NA,NA
"2936","encuestado_2004",NA,"-0.922587617977614",NA,NA,NA,NA,NA,NA
"2937","encuestado_2005",NA,"-0.889315804154188",NA,NA,NA,NA,NA,NA
"2938","encuestado_2006",NA,"-1.00383652086089",NA,NA,NA,NA,NA,NA
"2939","encuestado_2007",NA,"-1.32271242641329",NA,NA,NA,NA,NA,NA
"2940","encuestado_2008",NA,"-0.761577355066551",NA,NA,NA,NA,NA,NA
"2941","encuestado_2009",NA,"1.17135865153221",NA,NA,NA,NA,NA,NA
"2942","encuestado_2010",NA,"-0.941462099677009",NA,NA,NA,NA,NA,NA
"2943","encuestado_2011",NA,"0.609464855476672",NA,NA,NA,NA,NA,NA
"2944","encuestado_2012",NA,"-0.663549439005179",NA,NA,NA,NA,NA,NA
"2945","encuestado_2013",NA,"-0.196054565915573",NA,NA,NA,NA,NA,NA
"2946","encuestado_2014",NA,"-0.538476443967672",NA,NA,NA,NA,NA,NA
"2947","encuestado_2015",NA,"-0.119750131174844",NA,NA,NA,NA,NA,NA
"2948","encuestado_2016",NA,"-0.777190011237808",NA,NA,NA,NA,NA,NA
"2949","encuestado_2017",NA,"-0.745042353087562",NA,NA,NA,NA,NA,NA
"2950","encuestado_2018",NA,"-0.959433809742277",NA,NA,NA,NA,NA,NA
"2951","encuestado_2019",NA,"-0.890168986083873",NA,NA,NA,NA,NA,NA
"2952","encuestado_2020",NA,"-0.0244311136115326",NA,NA,NA,NA,NA,NA
"2953","encuestado_2021",NA,"-0.382388573174709",NA,NA,NA,NA,NA,NA
"2954","encuestado_2022",NA,"-0.887676351402414",NA,NA,NA,NA,NA,NA
"2955","encuestado_2023",NA,"-0.859526202775017",NA,NA,NA,NA,NA,NA
"2956","encuestado_2024",NA,"-0.782658745588728",NA,NA,NA,NA,NA,NA
"2957","encuestado_2025",NA,"-1.27587814574749",NA,NA,NA,NA,NA,NA
"2958","encuestado_2026",NA,"-1.19565470362078",NA,NA,NA,NA,NA,NA
"2959","encuestado_2027",NA,"-0.142900663803363",NA,NA,NA,NA,NA,NA
"2960","encuestado_2028",NA,"0.710795501917553",NA,NA,NA,NA,NA,NA
"2961","encuestado_2029",NA,"1.25152901731709",NA,NA,NA,NA,NA,NA
"2962","encuestado_2030",NA,"-0.807853246309197",NA,NA,NA,NA,NA,NA
"2963","encuestado_2031",NA,"-0.860569038577623",NA,NA,NA,NA,NA,NA
"2964","encuestado_2032",NA,"-0.969156663600797",NA,NA,NA,NA,NA,NA
"2965","encuestado_2033",NA,"-0.706809582175277",NA,NA,NA,NA,NA,NA
"2966","encuestado_2034",NA,"-0.968984536250496",NA,NA,NA,NA,NA,NA
"2967","encuestado_2035",NA,"-1.04524175659512",NA,NA,NA,NA,NA,NA
"2968","encuestado_2036",NA,"-1.17129076773006",NA,NA,NA,NA,NA,NA
"2969","encuestado_2037",NA,"-1.16176337267243",NA,NA,NA,NA,NA,NA
"2970","encuestado_2038",NA,"-0.720493898133801",NA,NA,NA,NA,NA,NA
"2971","encuestado_2039",NA,"-0.256295832362416",NA,NA,NA,NA,NA,NA
"2972","encuestado_2040",NA,"-0.3849096873458",NA,NA,NA,NA,NA,NA
"2973","encuestado_2041",NA,"-0.896991920577866",NA,NA,NA,NA,NA,NA
"2974","encuestado_2042",NA,"-0.424681520960825",NA,NA,NA,NA,NA,NA
"2975","encuestado_2043",NA,"1.28893087670461",NA,NA,NA,NA,NA,NA
"2976","encuestado_2044",NA,"-0.154574449584209",NA,NA,NA,NA,NA,NA
"2977","encuestado_2045",NA,"-1.08332172528065",NA,NA,NA,NA,NA,NA
"2978","encuestado_2046",NA,"-0.486434968145901",NA,NA,NA,NA,NA,NA
"2979","encuestado_2047",NA,"-0.616831815065108",NA,NA,NA,NA,NA,NA
"2980","encuestado_2048",NA,"0.672949038855493",NA,NA,NA,NA,NA,NA
"2981","encuestado_2049",NA,"-0.680050269500515",NA,NA,NA,NA,NA,NA
"2982","encuestado_2050",NA,"0.952751763712992",NA,NA,NA,NA,NA,NA
"2983","encuestado_2051",NA,"0.15984036495315",NA,NA,NA,NA,NA,NA
"2984","encuestado_2052",NA,"0.769013628906005",NA,NA,NA,NA,NA,NA
"2985","encuestado_2053",NA,"-0.887413780207597",NA,NA,NA,NA,NA,NA
"2986","encuestado_2054",NA,"-0.74265887756295",NA,NA,NA,NA,NA,NA
"2987","encuestado_2055",NA,"-0.797268492169486",NA,NA,NA,NA,NA,NA
"2988","encuestado_2056",NA,"-0.96514190170193",NA,NA,NA,NA,NA,NA
"2989","encuestado_2057",NA,"-1.05959091063423",NA,NA,NA,NA,NA,NA
"2990","encuestado_2058",NA,"-1.01742269971832",NA,NA,NA,NA,NA,NA
"2991","encuestado_2059",NA,"-0.202222422674809",NA,NA,NA,NA,NA,NA
"2992","encuestado_2060",NA,"-0.22459593769504",NA,NA,NA,NA,NA,NA
"2993","encuestado_2061",NA,"1.42578793223886",NA,NA,NA,NA,NA,NA
"2994","encuestado_2062",NA,"-0.819289510537586",NA,NA,NA,NA,NA,NA
"2995","encuestado_2063",NA,"-0.655725336683029",NA,NA,NA,NA,NA,NA
"2996","encuestado_2064",NA,"-1.23622676585905",NA,NA,NA,NA,NA,NA
"2997","encuestado_2065",NA,"-0.638353099177038",NA,NA,NA,NA,NA,NA
"2998","encuestado_2066",NA,"-0.737526229685793",NA,NA,NA,NA,NA,NA
"2999","encuestado_2067",NA,"-0.909445515480446",NA,NA,NA,NA,NA,NA
"3000","encuestado_2068",NA,"-0.831860716486718",NA,NA,NA,NA,NA,NA
"3001","encuestado_2069",NA,"-0.712446129954851",NA,NA,NA,NA,NA,NA
"3002","encuestado_2070",NA,"-0.440559817442007",NA,NA,NA,NA,NA,NA
"3003","encuestado_2071",NA,"-0.895017058533171",NA,NA,NA,NA,NA,NA
"3004","encuestado_2072",NA,"-1.09781412602797",NA,NA,NA,NA,NA,NA
"3005","encuestado_2073",NA,"1.68489755364467",NA,NA,NA,NA,NA,NA
"3006","encuestado_2074",NA,"-0.902052901897301",NA,NA,NA,NA,NA,NA
"3007","encuestado_2075",NA,"-0.855482669915332",NA,NA,NA,NA,NA,NA
"3008","encuestado_2076",NA,"0.884317506871357",NA,NA,NA,NA,NA,NA
"3009","encuestado_2077",NA,"1.03328743455182",NA,NA,NA,NA,NA,NA
"3010","encuestado_2078",NA,"1.02679691742375",NA,NA,NA,NA,NA,NA
"3011","encuestado_2079",NA,"-1.17332612493392",NA,NA,NA,NA,NA,NA
"3012","encuestado_2080",NA,"-0.508820787166586",NA,NA,NA,NA,NA,NA
"3013","encuestado_2081",NA,"1.14198936668028",NA,NA,NA,NA,NA,NA
"3014","encuestado_2082",NA,"-0.672424165153735",NA,NA,NA,NA,NA,NA
"3015","encuestado_2083",NA,"-0.796557853453864",NA,NA,NA,NA,NA,NA
"3016","encuestado_2084",NA,"0.969083600977889",NA,NA,NA,NA,NA,NA
"3017","encuestado_2085",NA,"1.14698952708011",NA,NA,NA,NA,NA,NA
"3018","encuestado_2086",NA,"-1.21165934553147",NA,NA,NA,NA,NA,NA
"3019","encuestado_2087",NA,"-1.26540504122138",NA,NA,NA,NA,NA,NA
"3020","encuestado_2088",NA,"-0.894957393358779",NA,NA,NA,NA,NA,NA
"3021","encuestado_2089",NA,"-1.14862261496733",NA,NA,NA,NA,NA,NA
"3022","encuestado_2090",NA,"0.787768867325087",NA,NA,NA,NA,NA,NA
"3023","encuestado_2091",NA,"-0.490253095273755",NA,NA,NA,NA,NA,NA
"3024","encuestado_2092",NA,"-1.03832155783231",NA,NA,NA,NA,NA,NA
"3025","encuestado_2093",NA,"-0.968620786261229",NA,NA,NA,NA,NA,NA
"3026","encuestado_2094",NA,"-0.315061678402872",NA,NA,NA,NA,NA,NA
"3027","encuestado_2095",NA,"-0.846400854414515",NA,NA,NA,NA,NA,NA
"3028","encuestado_2096",NA,"1.45054460697064",NA,NA,NA,NA,NA,NA
"3029","encuestado_2097",NA,"-0.498094550707558",NA,NA,NA,NA,NA,NA
"3030","encuestado_2098",NA,"-0.956680116696145",NA,NA,NA,NA,NA,NA
"3031","encuestado_2099",NA,"1.14712777821485",NA,NA,NA,NA,NA,NA
"3032","encuestado_2100",NA,"-0.421675918973235",NA,NA,NA,NA,NA,NA
"3033","encuestado_2101",NA,"-0.997508204443993",NA,NA,NA,NA,NA,NA
"3034","encuestado_2102",NA,"-0.398947722800286",NA,NA,NA,NA,NA,NA
"3035","encuestado_2103",NA,"0.804273157152602",NA,NA,NA,NA,NA,NA
"3036","encuestado_2104",NA,"0.80653036194324",NA,NA,NA,NA,NA,NA
"3037","encuestado_2105",NA,"0.923861059456608",NA,NA,NA,NA,NA,NA
"3038","encuestado_2106",NA,"-1.13181355433868",NA,NA,NA,NA,NA,NA
"3039","encuestado_2107",NA,"-0.863106154989343",NA,NA,NA,NA,NA,NA
"3040","encuestado_2108",NA,"-1.17059128007768",NA,NA,NA,NA,NA,NA
"3041","encuestado_2109",NA,"-0.905486999491228",NA,NA,NA,NA,NA,NA
"3042","encuestado_2110",NA,"-1.28667386624538",NA,NA,NA,NA,NA,NA
"3043","encuestado_2111",NA,"0.838813022874999",NA,NA,NA,NA,NA,NA
"3044","encuestado_2112",NA,"0.681907402442697",NA,NA,NA,NA,NA,NA
"3045","encuestado_2113",NA,"-0.747850498186261",NA,NA,NA,NA,NA,NA
"3046","encuestado_2114",NA,"-0.473562639803823",NA,NA,NA,NA,NA,NA
"3047","encuestado_2115",NA,"-0.816802660714588",NA,NA,NA,NA,NA,NA
"3048","encuestado_2116",NA,"-1.03249297009686",NA,NA,NA,NA,NA,NA
"3049","encuestado_2117",NA,"-0.753074435898962",NA,NA,NA,NA,NA,NA
"3050","encuestado_2118",NA,"-1.11974735034262",NA,NA,NA,NA,NA,NA
"3051","encuestado_2119",NA,"-0.567145293554605",NA,NA,NA,NA,NA,NA
"3052","encuestado_2120",NA,"0.794366102521295",NA,NA,NA,NA,NA,NA
"3053","encuestado_2121",NA,"1.46808054580877",NA,NA,NA,NA,NA,NA
"3054","encuestado_2122",NA,"-0.735313133548042",NA,NA,NA,NA,NA,NA
"3055","encuestado_2123",NA,"-0.751059431578738",NA,NA,NA,NA,NA,NA
"3056","encuestado_2124",NA,"0.985283844476659",NA,NA,NA,NA,NA,NA
"3057","encuestado_2125",NA,"0.867577825955216",NA,NA,NA,NA,NA,NA
"3058","encuestado_2126",NA,"0.659769855695924",NA,NA,NA,NA,NA,NA
"3059","encuestado_2127",NA,"-0.801725691213751",NA,NA,NA,NA,NA,NA
"3060","encuestado_2128",NA,"0.859971323848042",NA,NA,NA,NA,NA,NA
"3061","encuestado_2129",NA,"0.56890394238541",NA,NA,NA,NA,NA,NA
"3062","encuestado_2130",NA,"-0.749954588242843",NA,NA,NA,NA,NA,NA
"3063","encuestado_2131",NA,"-0.286263065158425",NA,NA,NA,NA,NA,NA
"3064","encuestado_2132",NA,"-0.342433789978184",NA,NA,NA,NA,NA,NA
"3065","encuestado_2133",NA,"0.891480975900814",NA,NA,NA,NA,NA,NA
"3066","encuestado_2134",NA,"-1.01210068644337",NA,NA,NA,NA,NA,NA
"3067","encuestado_2135",NA,"-1.00831935566768",NA,NA,NA,NA,NA,NA
"3068","encuestado_2136",NA,"-1.12317873326007",NA,NA,NA,NA,NA,NA
"3069","encuestado_2137",NA,"-0.806439019446839",NA,NA,NA,NA,NA,NA
"3070","encuestado_2138",NA,"-0.654508727884918",NA,NA,NA,NA,NA,NA
"3071","encuestado_2139",NA,"0.896568609613317",NA,NA,NA,NA,NA,NA
"3072","encuestado_2140",NA,"1.21953964798391",NA,NA,NA,NA,NA,NA
"3073","encuestado_2141",NA,"0.929144342461903",NA,NA,NA,NA,NA,NA
"3074","encuestado_2142",NA,"-0.942806904984199",NA,NA,NA,NA,NA,NA
"3075","encuestado_2143",NA,"-0.794480561928479",NA,NA,NA,NA,NA,NA
"3076","encuestado_2144",NA,"-0.853337104064349",NA,NA,NA,NA,NA,NA
"3077","encuestado_2145",NA,"0.519987994420078",NA,NA,NA,NA,NA,NA
"3078","encuestado_2146",NA,"-0.876473450715006",NA,NA,NA,NA,NA,NA
"3079","encuestado_2147",NA,"1.56672699698625",NA,NA,NA,NA,NA,NA
"3080","encuestado_2148",NA,"-1.16665523247638",NA,NA,NA,NA,NA,NA
"3081","encuestado_2149",NA,"-0.806066288961242",NA,NA,NA,NA,NA,NA
"3082","encuestado_2150",NA,"-0.632614507172173",NA,NA,NA,NA,NA,NA
"3083","encuestado_2151",NA,"-0.143745666237897",NA,NA,NA,NA,NA,NA
"3084","encuestado_2152",NA,"-1.05011603893153",NA,NA,NA,NA,NA,NA
"3085","encuestado_2153",NA,"-0.770608258575478",NA,NA,NA,NA,NA,NA
"3086","encuestado_2154",NA,"-1.11195042728098",NA,NA,NA,NA,NA,NA
"3087","encuestado_2155",NA,"-0.315557089579348",NA,NA,NA,NA,NA,NA
"3088","encuestado_2156",NA,"-1.3319358277987",NA,NA,NA,NA,NA,NA
"3089","encuestado_2157",NA,"-1.77013418776249",NA,NA,NA,NA,NA,NA
"3090","encuestado_2158",NA,"-0.78340439176599",NA,NA,NA,NA,NA,NA
"3091","encuestado_2159",NA,"-1.00513984100587",NA,NA,NA,NA,NA,NA
"3092","encuestado_2160",NA,"-1.13410380693257",NA,NA,NA,NA,NA,NA
"3093","encuestado_2161",NA,"0.701252768091348",NA,NA,NA,NA,NA,NA
"3094","encuestado_2162",NA,"1.19251815331542",NA,NA,NA,NA,NA,NA
"3095","encuestado_2163",NA,"-1.31624319432484",NA,NA,NA,NA,NA,NA
"3096","encuestado_2164",NA,"-0.849935924998227",NA,NA,NA,NA,NA,NA
"3097","encuestado_2165",NA,"-0.92846704235969",NA,NA,NA,NA,NA,NA
"3098","encuestado_2166",NA,"-0.476215913242442",NA,NA,NA,NA,NA,NA
"3099","encuestado_2167",NA,"-0.61574215726487",NA,NA,NA,NA,NA,NA
"3100","encuestado_2168",NA,"-0.437660695840508",NA,NA,NA,NA,NA,NA
"3101","encuestado_2169",NA,"1.00684338385635",NA,NA,NA,NA,NA,NA
"3102","encuestado_2170",NA,"-0.508055132706257",NA,NA,NA,NA,NA,NA
"3103","encuestado_2171",NA,"-0.852361458026759",NA,NA,NA,NA,NA,NA
"3104","encuestado_2172",NA,"-1.04436585391949",NA,NA,NA,NA,NA,NA
"3105","encuestado_2173",NA,"-0.85531445782426",NA,NA,NA,NA,NA,NA
"3106","encuestado_2174",NA,"1.04125472937719",NA,NA,NA,NA,NA,NA
"3107","encuestado_2175",NA,"-1.22253093949532",NA,NA,NA,NA,NA,NA
"3108","encuestado_2176",NA,"-1.02135663452281",NA,NA,NA,NA,NA,NA
"3109","encuestado_2177",NA,"-1.33519830567696",NA,NA,NA,NA,NA,NA
"3110","encuestado_2178",NA,"-0.769162345877297",NA,NA,NA,NA,NA,NA
"3111","encuestado_2179",NA,"1.37687370229685",NA,NA,NA,NA,NA,NA
"3112","encuestado_2180",NA,"-0.747989030511617",NA,NA,NA,NA,NA,NA
"3113","encuestado_2181",NA,"-0.885028455084561",NA,NA,NA,NA,NA,NA
"3114","encuestado_2182",NA,"-0.538667172868652",NA,NA,NA,NA,NA,NA
"3115","encuestado_2183",NA,"-1.10314085760554",NA,NA,NA,NA,NA,NA
"3116","encuestado_2184",NA,"-1.3315280476168",NA,NA,NA,NA,NA,NA
"3117","encuestado_2185",NA,"0.525063861323579",NA,NA,NA,NA,NA,NA
"3118","encuestado_2186",NA,"0.920906187374357",NA,NA,NA,NA,NA,NA
"3119","encuestado_2187",NA,"-0.14215244979291",NA,NA,NA,NA,NA,NA
"3120","encuestado_2188",NA,"0.940238533582215",NA,NA,NA,NA,NA,NA
"3121","encuestado_2189",NA,"-1.16837769091477",NA,NA,NA,NA,NA,NA
"3122","encuestado_2190",NA,"-1.14528825302928",NA,NA,NA,NA,NA,NA
"3123","encuestado_2191",NA,"1.38626683386419",NA,NA,NA,NA,NA,NA
"3124","encuestado_2192",NA,"-0.12591707457271",NA,NA,NA,NA,NA,NA
"3125","encuestado_2193",NA,"-0.863992897624354",NA,NA,NA,NA,NA,NA
"3126","encuestado_2194",NA,"-0.708256601799709",NA,NA,NA,NA,NA,NA
"3127","encuestado_2195",NA,"-1.1243982144319",NA,NA,NA,NA,NA,NA
"3128","encuestado_2196",NA,"-1.15795305837583",NA,NA,NA,NA,NA,NA
"3129","encuestado_2197",NA,"-0.835477458446943",NA,NA,NA,NA,NA,NA
"3130","encuestado_2198",NA,"1.12791075623766",NA,NA,NA,NA,NA,NA
"3131","encuestado_2199",NA,"-0.815107763053614",NA,NA,NA,NA,NA,NA
"3132","encuestado_2200",NA,"-0.455432381259237",NA,NA,NA,NA,NA,NA
"3133","encuestado_2201",NA,"-0.714503513140187",NA,NA,NA,NA,NA,NA
"3134","encuestado_2202",NA,"0.865772159532325",NA,NA,NA,NA,NA,NA
"3135","encuestado_2203",NA,"0.783099322703959",NA,NA,NA,NA,NA,NA
"3136","encuestado_2204",NA,"-0.700367367678282",NA,NA,NA,NA,NA,NA
"3137","encuestado_2205",NA,"1.04596841499949",NA,NA,NA,NA,NA,NA
"3138","encuestado_2206",NA,"0.620164061647733",NA,NA,NA,NA,NA,NA
"3139","encuestado_2207",NA,"0.84209326068543",NA,NA,NA,NA,NA,NA
"3140","encuestado_2208",NA,"-0.927783234919023",NA,NA,NA,NA,NA,NA
"3141","encuestado_2209",NA,"-0.570208180198482",NA,NA,NA,NA,NA,NA
"3142","encuestado_2210",NA,"0.674239131261677",NA,NA,NA,NA,NA,NA
"3143","encuestado_2211",NA,"-0.419132471702268",NA,NA,NA,NA,NA,NA
"3144","encuestado_2212",NA,"-0.2392420939643",NA,NA,NA,NA,NA,NA
"3145","encuestado_2213",NA,"-0.992439383821722",NA,NA,NA,NA,NA,NA
"3146","encuestado_2214",NA,"-0.579465794575677",NA,NA,NA,NA,NA,NA
"3147","encuestado_2215",NA,"0.750495386852999",NA,NA,NA,NA,NA,NA
"3148","encuestado_2216",NA,"-0.726587926406015",NA,NA,NA,NA,NA,NA
"3149","encuestado_2217",NA,"-1.01915947323931",NA,NA,NA,NA,NA,NA
"3150","encuestado_2218",NA,"-0.416504168152544",NA,NA,NA,NA,NA,NA
"3151","encuestado_2219",NA,"-0.935542649787845",NA,NA,NA,NA,NA,NA
"3152","encuestado_2220",NA,"-0.580323153377203",NA,NA,NA,NA,NA,NA
"3153","encuestado_2221",NA,"-0.231186916033024",NA,NA,NA,NA,NA,NA
"3154","encuestado_2222",NA,"-0.890101733667924",NA,NA,NA,NA,NA,NA
"3155","encuestado_2223",NA,"-0.793691116021637",NA,NA,NA,NA,NA,NA
"3156","encuestado_2224",NA,"-0.778561368936809",NA,NA,NA,NA,NA,NA
"3157","encuestado_2225",NA,"-1.05269000441503",NA,NA,NA,NA,NA,NA
"3158","encuestado_2226",NA,"-0.33060161660282",NA,NA,NA,NA,NA,NA
"3159","encuestado_2227",NA,"-0.822634870883222",NA,NA,NA,NA,NA,NA
"3160","encuestado_2228",NA,"-0.747795023178333",NA,NA,NA,NA,NA,NA
"3161","encuestado_2229",NA,"-0.494443133605211",NA,NA,NA,NA,NA,NA
"3162","encuestado_2230",NA,"-1.15841494154509",NA,NA,NA,NA,NA,NA
"3163","encuestado_2231",NA,"-0.808773467537247",NA,NA,NA,NA,NA,NA
"3164","encuestado_2232",NA,"-0.988996984030284",NA,NA,NA,NA,NA,NA
"3165","encuestado_2233",NA,"-0.614402540662564",NA,NA,NA,NA,NA,NA
"3166","encuestado_2234",NA,"-0.799731302196253",NA,NA,NA,NA,NA,NA
"3167","encuestado_2235",NA,"-0.552127889420861",NA,NA,NA,NA,NA,NA
"3168","encuestado_2236",NA,"1.40790794350681",NA,NA,NA,NA,NA,NA
"3169","encuestado_2237",NA,"-0.375212135274841",NA,NA,NA,NA,NA,NA
"3170","encuestado_2238",NA,"1.74703650241209",NA,NA,NA,NA,NA,NA
"3171","encuestado_2239",NA,"-0.272386427146189",NA,NA,NA,NA,NA,NA
"3172","encuestado_2240",NA,"0.52325538283086",NA,NA,NA,NA,NA,NA
"3173","encuestado_2241",NA,"1.06012680680807",NA,NA,NA,NA,NA,NA
"3174","encuestado_2242",NA,"0.10731888722344",NA,NA,NA,NA,NA,NA
"3175","encuestado_2243",NA,"-0.695831049744004",NA,NA,NA,NA,NA,NA
"3176","encuestado_2244",NA,"1.13685156028622",NA,NA,NA,NA,NA,NA
"3177","encuestado_2245",NA,"0.746430821256008",NA,NA,NA,NA,NA,NA
"3178","encuestado_2246",NA,"-0.897242163976664",NA,NA,NA,NA,NA,NA
"3179","encuestado_2247",NA,"1.08862165304465",NA,NA,NA,NA,NA,NA
"3180","encuestado_2248",NA,"-0.993428085948703",NA,NA,NA,NA,NA,NA
"3181","encuestado_2249",NA,"-0.45029452375173",NA,NA,NA,NA,NA,NA
"3182","encuestado_2250",NA,"-1.09052648833558",NA,NA,NA,NA,NA,NA
"3183","encuestado_2251",NA,"-0.265339729369869",NA,NA,NA,NA,NA,NA
"3184","encuestado_2252",NA,"-0.739024999710661",NA,NA,NA,NA,NA,NA
"3185","encuestado_2253",NA,"-0.823816643465284",NA,NA,NA,NA,NA,NA
"3186","encuestado_2254",NA,"-0.51703245818726",NA,NA,NA,NA,NA,NA
"3187","encuestado_2255",NA,"-1.02484559286212",NA,NA,NA,NA,NA,NA
